fluent_name,frequency
at,74
in,43
available,35
empty,34
clear,32
next,30
on,29
connected,29
calibrated,27
supports,27
have_image,27
calibration_target,27
on_board,27
free,21
pointing,18
power_avail,18
power_on,18
occupied,14
holding,14
waiting,14
capacity,13
normal,13
full,13
boarded,12
lift-at,12
above,12
delivered,12
driving,11
link,11
path,11
unused,10
road,10
move-dir,10
visible,10
capacity-predecessor,9
ontable,9
handempty,9
at-curb,9
at-curb-num,9
behind-car,9
car-clear,9
curb-clear,9
connect,9
unitary,9
not-unitary,9
last,9
first,9
follow,9
is-product,9
may-interface,9
push-updating,9
pop-updating,9
at_lander,9
can_traverse,9
equipped_for_soil_analysis,9
equipped_for_rock_analysis,9
equipped_for_imaging,9
have_rock_analysis,9
have_soil_analysis,9
communicated_soil_data,9
communicated_rock_data,9
communicated_image_data,9
at_soil_sample,9
at_rock_sample,9
visible_from,9
store_of,9
channel_free,9
includes,9
started,9
shipped,9
made,9
at-robot,8
passenger-at,8
reachable-floor,8
served,8
closer,8
lifting,8
surface-condition,7
at-goal,7
is-goal,7
is-nongoal,7
in-line,7
contains,7
clean,7
used,7
dispenses,7
shaker-empty-level,7
shaker-level,7
unshaked,7
shaked,7
cocktail-part1,7
cocktail-part2,7
visited,7
passengers,7
can-hold,7
next-count,7
treatment,6
colour,6
wood,6
in-highspeed-saw,6
has-colour,6
grind-treatment-change,6
is-smooth,6
initiated,6
stacks-avail,6
location,6
boardsize,5
goalsize,5
boardsize-successor,5
contains-part,5
move-ended,5
last-visited,5
analyzed,5
cycle-2,5
cycle-4,5
cycle-2-with-analysis,5
cycle-4-with-analysis,5
colspace,5
home,5
bottomcol,5
canstack,5
suit,5
value,5
successor,5
at-destination,5
idle,5
starting,5
arrived,5
road_connect,5
in_place,5
at_garage,5
origin,4
destin,4
in-city,4
time-now,4
le,4
tank-slot-product-location,4
not-occupied,4
qos-params,4
trm-ok,4
ct-ok,4
authentification,4
am-ok,4
aeem-ok,4
rrc-ok,4
rab-ok,4
aeei-ok,4
message-trm,4
message-aeei,4
iu-bearer,4
bs-ok,4
begin-init,4
begin-aeei,4
at-tank,4
in-storage,4
next-tank,4
at-diver,4
at-surface,4
decompressing,4
precludes,4
cave-entrance,4
next-quantity,4
have-photo,4
in-water,4
at_kitchen_bread,4
at_kitchen_content,4
at_kitchen_sandwich,4
no_gluten_bread,4
no_gluten_content,4
ontray,4
no_gluten_sandwich,4
allergic_gluten,4
not_allergic_gluten,4
notexist,4
duplicate,4
swappable,4
